Date,Type,Category,Amount,Comment
2018-01-01,Расход,Транспорт,1819.76,Автобус
2018-01-02,Доход,Наличка,15802.96,Сдача
2018-01-04,Расход,Продукты,570.9,Бристоль
2018-01-04,Расход,Продукты,4729.89,Лента
2018-01-04,Расход,Транспорт,1336.33,Такси
2018-01-05,Расход,Продукты,2235.12,Перекрёсток
2018-01-05,Расход,Развлечения,5781.04,Боулинг
2018-01-05,Доход,Зарплата,69243.68,Премия
2018-01-06,Расход,Развлечения,3087.47,Суши
2018-01-06,Расход,Продукты,1075.21,Дикси
2018-01-06,Расход,Развлечения,5803.73,Театр
2018-01-06,Расход,Перевод,9369.76,Перевод родителям
2018-01-07,Расход,Жилье,16314.12,Интернет
2018-01-07,Расход,Наличка,10782.0,Снятие наличных
2018-01-07,Расход,Здоровье,6931.27,Стоматолог
2018-01-07,Расход,Здоровье,2927.62,Очки
2018-01-08,Доход,Перевод,143905.38,Наследство
2018-01-09,Расход,Развлечения,967.54,Концерт
2018-01-09,Расход,Транспорт,1901.39,Яндекс.Такси
2018-01-09,Доход,Наличка,7251.08,Пополнение наличными
2018-01-09,Доход,Перевод,137760.25,Страховая выплата
2018-01-10,Расход,Развлечения,2275.36,Боулинг
2018-01-10,Расход,Прочее,9729.33,Канцелярия
2018-01-11,Расход,Наличка,2576.24,Размен
2018-01-11,Доход,Перевод,4575.84,Возврат долга
2018-01-12,Расход,Транспорт,2874.27,Самокат
2018-01-12,Расход,Транспорт,1396.25,Парковка
2018-01-12,Расход,Здоровье,913.79,Линзы
2018-01-12,Расход,Жилье,27338.78,Электричество
2018-01-13,Расход,Транспорт,740.97,Каршеринг
2018-01-13,Расход,Развлечения,5443.86,Доставка еды
2018-01-14,Расход,Продукты,2834.23,Лента
2018-01-14,Расход,Развлечения,3300.09,Кафе
2018-01-14,Расход,Наличка,9327.05,Снятие наличных
2018-01-14,Расход,Транспорт,2013.41,Электричка
2018-01-14,Расход,Наличка,8880.59,ATM
2018-01-15,Расход,Досуг,1431.86,Хобби
2018-01-15,Доход,Наличка,8621.95,Пополнение наличными
2018-01-16,Расход,Наличка,12990.32,Снятие наличных
2018-01-16,Расход,Жилье,24942.21,Ремонт
2018-01-17,Расход,Наличка,5534.64,ATM
2018-01-17,Расход,Продукты,2873.59,Дикси
2018-01-17,Расход,Жилье,30557.21,Вода
2018-01-17,Расход,Наличка,1292.18,Снятие наличных
2018-01-17,Расход,Прочее,8968.27,Непредвиденные расходы
2018-01-17,Расход,Наличка,12060.53,ATM
2018-01-19,Расход,Жилье,14833.74,Газ
2018-01-19,Расход,Транспорт,443.51,Яндекс.Такси
2018-01-19,Расход,Жилье,33249.09,Аренда квартиры
2018-01-19,Расход,Транспорт,626.89,Такси
2018-01-19,Расход,Транспорт,172.33,Электричка
2018-01-20,Расход,Досуг,570.5,Coursera
2018-01-20,Расход,Развлечения,3444.74,Концерт
2018-01-20,Расход,Развлечения,4306.29,Ресторан
2018-01-20,Доход,Зарплата,50209.36,Бонус
2018-01-20,Доход,Перевод,22361.82,Возврат долга
2018-01-21,Расход,Наличка,7421.25,Размен
2018-01-21,Расход,Продукты,3277.05,Метро
2018-01-21,Расход,Транспорт,161.35,Такси
2018-01-22,Расход,Наличка,2546.97,Снятие наличных
2018-01-24,Расход,Досуг,2418.9,Игры
2018-01-24,Расход,Досуг,361.49,Coursera
2018-01-24,Расход,Прочее,6632.37,Подарок
2018-01-24,Расход,Наличка,10615.75,Снятие наличных
2018-01-24,Расход,Продукты,721.94,Ашан
2018-01-24,Расход,Продукты,3290.64,Перекрёсток
2018-01-25,Расход,Развлечения,2797.38,Кино
2018-01-26,Расход,Наличка,10473.72,Размен
2018-01-26,Расход,Прочее,1384.55,Подарок
2018-01-27,Расход,Развлечения,2184.28,Боулинг
2018-01-27,Расход,Транспорт,1350.04,Каршеринг
2018-01-27,Расход,Продукты,681.62,Перекрёсток
2018-01-27,Расход,Досуг,1906.21,Игры
2018-01-27,Расход,Перевод,13887.72,Долг
2018-01-28,Расход,Здоровье,3067.74,Аптека
2018-01-28,Расход,Досуг,1193.65,YouTube Premium
2018-01-28,Расход,Перевод,10635.48,Алименты
2018-01-28,Расход,Развлечения,2956.85,Доставка еды
2018-01-28,Расход,Наличка,9544.52,ATM
2018-01-28,Доход,Перевод,24542.21,Перевод от друга
2018-01-30,Расход,Продукты,381.44,Ашан
2018-01-30,Расход,Жилье,10403.76,Управляющая компания
2018-01-30,Расход,Продукты,3669.62,Магнит
2018-01-30,Расход,Прочее,2127.67,Зоотовары
2018-01-31,Расход,Досуг,1199.95,Coursera
2018-02-01,Расход,Продукты,4148.72,Пятёрочка
2018-02-02,Расход,Транспорт,225.11,Бензин
2018-02-02,Расход,Прочее,1705.95,Косметика
2018-02-02,Расход,Прочее,108.0,Зоотовары
2018-02-03,Расход,Транспорт,1446.89,Парковка
2018-02-04,Расход,Развлечения,4706.26,Ресторан
2018-02-04,Расход,Досуг,399.74,Хобби
2018-02-05,Доход,Зарплата,52536.33,Премия
2018-02-05,Доход,Наличка,17031.5,Пополнение наличными
2018-02-06,Расход,Прочее,1785.52,Цветы
2018-02-06,Расход,Прочее,3282.33,Подарок
2018-02-06,Расход,Жилье,22309.63,Газ
2018-02-07,Расход,Продукты,1551.64,Пятёрочка
2018-02-07,Расход,Жилье,14406.95,Ремонт
2018-02-07,Расход,Прочее,9351.29,Косметика
2018-02-07,Расход,Жилье,16840.24,Газ
2018-02-07,Доход,Наличка,6596.99,Сдача
2018-02-08,Расход,Продукты,2686.24,Ашан
2018-02-08,Расход,Прочее,3126.85,Зоотовары
2018-02-08,Расход,Прочее,8369.15,Косметика
2018-02-09,Расход,Наличка,12556.84,ATM
2018-02-09,Расход,Продукты,1563.89,Дикси
2018-02-09,Доход,Наличка,10054.26,Найденные деньги
2018-02-10,Расход,Перевод,11300.82,Алименты
2018-02-10,Расход,Прочее,5886.3,Непредвиденные расходы
2018-02-11,Расход,Досуг,727.72,Игры
2018-02-11,Расход,Развлечения,4149.29,Театр
2018-02-12,Расход,Развлечения,3595.67,Пицца
2018-02-12,Расход,Прочее,5551.5,Канцелярия
2018-02-12,Расход,Досуг,706.37,Книги
2018-02-13,Расход,Продукты,4990.87,Метро
2018-02-13,Расход,Продукты,372.31,Бристоль
2018-02-14,Расход,Наличка,9227.7,Снятие наличных
2018-02-14,Расход,Наличка,8414.99,Снятие наличных
2018-02-14,Расход,Жилье,16214.21,Газ
2018-02-14,Расход,Досуг,565.09,Coursera
2018-02-15,Расход,Жилье,6955.44,Газ
2018-02-15,Расход,Транспорт,2831.62,Такси
2018-02-15,Расход,Наличка,8360.79,ATM
2018-02-16,Расход,Перевод,18068.01,Алименты
2018-02-16,Расход,Перевод,14622.19,Алименты
2018-02-16,Расход,Жилье,15867.11,Ремонт
2018-02-17,Расход,Перевод,4103.44,Благотворительность
2018-02-17,Расход,Перевод,7205.18,Благотворительность
2018-02-18,Расход,Здоровье,5287.4,Спортзал
2018-02-18,Расход,Досуг,838.01,Coursera
2018-02-18,Расход,Досуг,732.44,Spotify
2018-02-19,Расход,Продукты,2478.03,Магнит
2018-02-19,Расход,Транспорт,1069.67,Каршеринг
2018-02-19,Расход,Прочее,3797.04,Непредвиденные расходы
2018-02-20,Доход,Зарплата,72230.73,13-я зарплата
2018-02-21,Расход,Продукты,2977.75,Дикси
2018-02-21,Расход,Жилье,26738.92,Коммунальные услуги
2018-02-21,Расход,Досуг,2812.62,Хобби
2018-02-21,Расход,Транспорт,420.83,Яндекс.Такси
2018-02-21,Доход,Наличка,2412.61,Пополнение наличными
2018-02-22,Расход,Продукты,472.06,Магнит
2018-02-22,Расход,Здоровье,5364.26,Аптека
2018-02-22,Расход,Продукты,1034.62,Лента
2018-02-23,Расход,Продукты,3149.87,Метро
2018-02-24,Расход,Развлечения,1379.05,Кафе
2018-02-25,Расход,Перевод,9525.07,Перевод родителям
2018-02-25,Расход,Развлечения,225.86,Пицца
2018-02-25,Расход,Развлечения,331.46,Ресторан
2018-02-26,Расход,Здоровье,784.19,Анализы
2018-02-26,Расход,Транспорт,163.4,Метро
2018-02-26,Расход,Развлечения,2806.43,Пицца
2018-02-27,Расход,Продукты,980.72,Магнит
2018-02-28,Расход,Продукты,2424.12,Бристоль
2018-03-02,Доход,Перевод,5143.25,Подработка
2018-03-03,Расход,Прочее,1679.17,Одежда
2018-03-03,Расход,Перевод,3181.02,Перевод другу
2018-03-04,Расход,Продукты,3663.61,Пятёрочка
2018-03-04,Расход,Транспорт,2554.59,Бензин
2018-03-05,Расход,Продукты,873.4,Рынок
2018-03-05,Расход,Наличка,3933.13,Снятие наличных
2018-03-05,Доход,Зарплата,49877.92,Бонус
2018-03-06,Расход,Продукты,816.6,Перекрёсток
2018-03-06,Расход,Жилье,14415.6,Ремонт
2018-03-06,Расход,Продукты,3086.13,ВкусВилл
2018-03-06,Расход,Развлечения,4339.42,Пицца
2018-03-07,Расход,Перевод,8364.87,Алименты
2018-03-07,Расход,Перевод,17079.69,Благотворительность
2018-03-08,Расход,Жилье,32407.3,Газ
2018-03-08,Расход,Развлечения,1118.74,Концерт
2018-03-08,Расход,Продукты,3432.19,Перекрёсток
2018-03-09,Расход,Здоровье,5809.57,Очки
2018-03-10,Расход,Перевод,8840.33,Благотворительность
2018-03-10,Расход,Досуг,779.5,Авито
2018-03-10,Расход,Жилье,19873.18,Электричество
2018-03-10,Расход,Досуг,438.66,Steam
2018-03-10,Расход,Развлечения,2111.99,Ресторан
2018-03-10,Расход,Здоровье,7077.64,Витамины
2018-03-11,Расход,Развлечения,887.83,Бар
2018-03-11,Расход,Прочее,5890.36,Канцелярия
2018-03-11,Расход,Досуг,2231.74,Авито
2018-03-11,Расход,Здоровье,4945.79,Анализы
2018-03-13,Расход,Продукты,3790.8,Метро
2018-03-13,Расход,Жилье,14150.3,Ремонт
2018-03-13,Расход,Развлечения,3966.51,Театр
2018-03-14,Расход,Жилье,24387.57,Коммунальные услуги
2018-03-14,Доход,Перевод,7487.24,Возврат долга
2018-03-15,Расход,Наличка,8807.34,Размен
2018-03-15,Расход,Транспорт,1449.73,Каршеринг
2018-03-15,Расход,Развлечения,2386.81,Концерт
2018-03-15,Доход,Перевод,7533.07,Перевод от родителей
2018-03-17,Расход,Досуг,1337.85,Spotify
2018-03-17,Расход,Досуг,2623.0,Хобби
2018-03-17,Расход,Продукты,151.48,Перекрёсток
2018-03-17,Расход,Досуг,191.25,Игры
2018-03-17,Расход,Продукты,567.3,Магнит
2018-03-17,Расход,Развлечения,1143.94,Кино
2018-03-18,Расход,Развлечения,4600.89,Кино
2018-03-19,Расход,Транспорт,1800.14,Яндекс.Такси
2018-03-19,Расход,Прочее,5389.32,Техника
2018-03-19,Расход,Транспорт,929.03,Такси
2018-03-20,Расход,Наличка,11772.14,Снятие наличных
2018-03-20,Расход,Транспорт,275.26,Бензин
2018-03-20,Расход,Прочее,565.63,Непредвиденные расходы
2018-03-20,Доход,Зарплата,67581.27,Зарплата за месяц
2018-03-21,Расход,Досуг,1644.72,Хобби
2018-03-21,Расход,Продукты,2567.34,Лента
2018-03-22,Расход,Продукты,3211.35,Рынок
2018-03-22,Расход,Транспорт,2437.96,Автобус
2018-03-22,Расход,Жилье,15117.74,Электричество
2018-03-22,Расход,Продукты,2639.42,Бристоль
2018-03-22,Расход,Перевод,13944.66,Перевод родителям
2018-03-22,Расход,Наличка,2725.02,Размен
2018-03-24,Расход,Досуг,805.41,YouTube Premium
2018-03-24,Расход,Перевод,5167.31,Долг
2018-03-24,Расход,Прочее,3890.79,Подарок
2018-03-24,Расход,Прочее,625.59,Канцелярия
2018-03-25,Расход,Транспорт,2426.5,Каршеринг
2018-03-25,Расход,Развлечения,329.73,Кино
2018-03-25,Расход,Наличка,4365.48,Размен
2018-03-25,Расход,Наличка,12888.87,Размен
2018-03-25,Расход,Досуг,1569.5,Coursera
2018-03-25,Расход,Жилье,3823.4,Ремонт
2018-03-26,Расход,Продукты,1690.92,Метро
2018-03-26,Расход,Транспорт,2750.55,Метро
2018-03-27,Расход,Продукты,2748.54,Пятёрочка
2018-03-27,Расход,Здоровье,2707.23,Линзы
2018-03-27,Расход,Жилье,13357.6,Интернет
2018-03-27,Расход,Жилье,15494.0,Коммунальные услуги
2018-03-27,Расход,Жилье,32302.4,Электричество
2018-03-28,Расход,Транспорт,1150.89,Uber
2018-03-29,Доход,Перевод,15752.07,Перевод от друга
2018-03-30,Расход,Перевод,19114.64,Долг
2018-03-30,Расход,Продукты,4896.64,Рынок
2018-03-30,Расход,Прочее,9866.09,Непредвиденные расходы
2018-03-30,Расход,Здоровье,5304.76,Спортзал
2018-03-31,Расход,Здоровье,3587.36,Анализы
2018-03-31,Расход,Перевод,7881.52,Долг
2018-03-31,Расход,Наличка,1531.01,Размен
2018-03-31,Расход,Продукты,4707.76,Лента
2018-04-01,Расход,Досуг,2714.12,Coursera
2018-04-02,Расход,Наличка,7449.55,Снятие наличных
2018-04-02,Расход,Здоровье,606.05,Анализы
2018-04-03,Расход,Перевод,6517.79,Перевод другу
2018-04-05,Расход,Жилье,23560.02,Электричество
2018-04-05,Доход,Зарплата,69350.96,Премия
2018-04-05,Доход,Перевод,1287.33,Кэшбэк
2018-04-06,Расход,Продукты,655.95,Пятёрочка
2018-04-06,Расход,Досуг,2682.45,Coursera
2018-04-06,Расход,Перевод,3717.06,Благотворительность
2018-04-07,Расход,Развлечения,3249.08,Театр
2018-04-07,Расход,Досуг,1690.1,Coursera
2018-04-07,Расход,Наличка,4849.82,ATM
2018-04-07,Расход,Продукты,3914.71,Ашан
2018-04-07,Расход,Наличка,11676.36,Снятие наличных
2018-04-07,Расход,Развлечения,4169.2,Кино
2018-04-08,Расход,Транспорт,1028.07,Каршеринг
2018-04-08,Расход,Развлечения,3915.34,Ресторан
2018-04-08,Расход,Досуг,217.04,YouTube Premium
2018-04-08,Расход,Жилье,29363.69,Аренда квартиры
2018-04-08,Расход,Развлечения,489.08,Кафе
2018-04-08,Расход,Досуг,878.93,Spotify
2018-04-09,Расход,Транспорт,2533.86,Такси
2018-04-09,Расход,Наличка,1935.39,Снятие наличных
2018-04-09,Расход,Перевод,7465.39,Благотворительность
2018-04-09,Расход,Здоровье,5808.04,Массаж
2018-04-10,Расход,Развлечения,878.37,Концерт
2018-04-10,Расход,Продукты,1910.88,Бристоль
2018-04-11,Расход,Досуг,2381.21,Steam
2018-04-11,Расход,Продукты,1400.19,Дикси
2018-04-12,Расход,Перевод,7301.23,Перевод родителям
2018-04-13,Расход,Продукты,1979.43,Перекрёсток
2018-04-14,Расход,Транспорт,1085.78,Самокат
2018-04-14,Расход,Перевод,17506.85,Долг
2018-04-14,Расход,Перевод,7915.22,Перевод другу
2018-04-14,Расход,Перевод,18547.64,Перевод другу
2018-04-14,Расход,Продукты,801.42,Бристоль
2018-04-15,Расход,Жилье,28866.19,Мебель
2018-04-15,Расход,Развлечения,4357.88,Кафе
2018-04-16,Расход,Досуг,880.54,Steam
2018-04-16,Расход,Досуг,371.73,Хобби
2018-04-16,Расход,Досуг,825.91,Coursera
2018-04-17,Расход,Наличка,11484.64,ATM
2018-04-17,Доход,Наличка,4675.66,Найденные деньги
2018-04-18,Расход,Досуг,828.28,Coursera
2018-04-18,Расход,Транспорт,2417.66,Электричка
2018-04-18,Расход,Прочее,8927.27,Непредвиденные расходы
2018-04-18,Расход,Продукты,1219.63,Пятёрочка
2018-04-19,Расход,Досуг,1894.35,Авито
2018-04-19,Расход,Наличка,8982.35,ATM
2018-04-19,Расход,Продукты,3841.0,Перекрёсток
2018-04-19,Расход,Здоровье,2613.74,Стоматолог
2018-04-19,Расход,Прочее,8387.0,Косметика
2018-04-20,Расход,Продукты,1142.22,Рынок
2018-04-20,Расход,Здоровье,2646.05,Стоматолог
2018-04-20,Доход,Зарплата,48845.54,Квартальная премия
2018-04-21,Расход,Досуг,2613.08,Netflix
2018-04-22,Расход,Прочее,1532.53,Цветы
2018-04-22,Расход,Развлечения,782.99,Концерт
2018-04-23,Расход,Транспорт,2870.75,Uber
2018-04-24,Расход,Транспорт,2906.89,Самокат
2018-04-25,Расход,Здоровье,534.29,Витамины
2018-04-25,Расход,Жилье,8774.42,Интернет
2018-04-25,Расход,Транспорт,187.2,Самокат
2018-04-25,Расход,Жилье,8664.95,Коммунальные услуги
2018-04-26,Расход,Транспорт,1664.33,Каршеринг
2018-04-26,Расход,Транспорт,349.86,Каршеринг
2018-04-26,Расход,Жилье,34519.54,Коммунальные услуги
2018-04-26,Расход,Наличка,13320.02,Размен
2018-04-27,Расход,Развлечения,2309.96,Бар
2018-04-27,Расход,Прочее,9156.66,Одежда
2018-04-27,Расход,Здоровье,6854.3,Стоматолог
2018-04-27,Расход,Продукты,2411.15,Ашан
2018-04-27,Расход,Наличка,11609.99,Снятие наличных
2018-04-27,Расход,Досуг,1729.11,Хобби
2018-04-28,Расход,Транспорт,579.53,Самокат
2018-04-28,Расход,Жилье,25097.49,Аренда квартиры
2018-04-28,Расход,Жилье,21712.05,Интернет
2018-04-28,Расход,Перевод,6555.03,Благотворительность
2018-04-28,Расход,Транспорт,1778.25,Электричка
2018-04-29,Расход,Продукты,821.21,ВкусВилл
2018-04-29,Расход,Развлечения,3754.46,Пицца
2018-04-29,Расход,Досуг,2696.91,Steam
2018-04-29,Расход,Транспорт,2913.62,Самокат
2018-04-29,Расход,Прочее,4220.23,Косметика
2018-04-30,Расход,Продукты,2296.48,Перекрёсток
2018-04-30,Расход,Здоровье,5830.05,Массаж
2018-04-30,Расход,Развлечения,3259.33,Доставка еды
2018-05-01,Расход,Транспорт,974.56,Яндекс.Такси
2018-05-01,Расход,Продукты,1412.1,Дикси
2018-05-01,Доход,Перевод,11248.57,Перевод от друга
2018-05-02,Расход,Продукты,2098.93,Магнит
2018-05-03,Расход,Прочее,5523.7,Зоотовары
2018-05-04,Расход,Развлечения,5998.86,Кафе
2018-05-04,Расход,Продукты,4747.16,Метро
2018-05-04,Расход,Перевод,19854.73,Благотворительность
2018-05-05,Расход,Транспорт,187.9,Бензин
2018-05-05,Расход,Развлечения,4132.63,Концерт
2018-05-05,Расход,Развлечения,5099.39,Кино
2018-05-05,Доход,Зарплата,72806.34,Квартальная премия
2018-05-06,Расход,Досуг,629.6,Spotify
2018-05-06,Расход,Досуг,1683.77,Книги
2018-05-06,Расход,Продукты,4701.78,Ашан
2018-05-06,Расход,Жилье,14491.01,Газ
2018-05-06,Расход,Продукты,2881.62,Дикси
2018-05-07,Расход,Развлечения,3314.03,Боулинг
2018-05-08,Расход,Наличка,4255.71,ATM
2018-05-08,Расход,Здоровье,733.91,Анализы
2018-05-09,Расход,Досуг,2950.3,Netflix
2018-05-09,Расход,Развлечения,564.74,Доставка еды
2018-05-09,Доход,Наличка,4849.08,Найденные деньги
2018-05-10,Расход,Продукты,2675.44,Пятёрочка
2018-05-10,Расход,Транспорт,1079.18,Автобус
2018-05-11,Расход,Перевод,1195.53,Алименты
2018-05-11,Расход,Наличка,8784.29,Размен
2018-05-11,Расход,Развлечения,1975.97,Ресторан
2018-05-12,Расход,Здоровье,7217.47,Стоматолог
2018-05-12,Расход,Наличка,5152.43,ATM
2018-05-13,Расход,Развлечения,2147.87,Суши
2018-05-13,Расход,Продукты,159.52,Дикси
